,collector_name,collector_address,collector_number,collector_nik
0,John Butler,"Gg. Rungkut Industri No. 4
Bau-Bau, LA 50483",+62-0484-217-8451,2992432598137030
1,Jason Sandoval,"Gg. Sadang Serang No. 6
Serang, BE 92453",+62 (32) 351-4115,2063940591864525
2,Mark Smith,"Gg. Joyoboyo No. 12
Cimahi, Kalimantan Barat 41378",+62-14-020-6307,6955003244943831
3,George Thomas,"Jalan Cikutra Timur No. 53
Batu, Jawa Barat 48828",+62 (01) 018 9218,3175836365216917
4,Emily Mccormick,"Jl. PHH. Mustofa No. 677
Madiun, DI Yogyakarta 21298",+62 (057) 379 7763,3411629805270676
5,Dawn English,"Gang Jend. A. Yani No. 1
Sorong, KI 51384",+62 (54) 368-8192,1230636665755010
6,Mary Johnson,"Jalan Dipatiukur No. 0
Kupang, KS 54624",+62-0138-303-6697,8316759444621028
7,Mark Phillips,"Jl. Joyoboyo No. 600
Kota Administrasi Jakarta Pusat, SG 56028",0839143117,3717990299375985
8,Eric Scott,"Jl. Rumah Sakit No. 73
Cimahi, JK 61516",+62 (177) 495-8627,7826893928277048
9,Hannah Henderson,"Jalan Pacuan Kuda No. 1
Tarakan, Papua 04043",+62 (25) 157 6369,1558707421526815
10,Tiffany Carter,"Jl. Cikapayang No. 472
Solok, PA 12849",(0743) 904 5168,2576513367007104
11,William Wall,"Jalan Joyoboyo No. 24
Tebingtinggi, KU 79366",+62 (0890) 076-7467,9740605681910785
12,Kelly Young,"Jalan Kutai No. 33
Bukittinggi, Maluku Utara 89380",+62 (019) 353-1963,9106938383040500
13,Eric Murray,"Gg. Pacuan Kuda No. 09
Jayapura, KU 68327",+62 (324) 144-2586,9302107621680364
14,Michael Luna,"Jl. Moch. Ramdan No. 75
Ternate, Kalimantan Timur 85489",+62-218-050-5473,5460120464291476
15,Ryan Henry,"Gang Rumah Sakit No. 799
Manado, BE 78380",+62 (998) 697-2767,2707998929275759
16,Karen Flynn,"Gg. Gardujati No. 6
Pariaman, Jawa Barat 66735",(0804) 213-8054,6796098810990677
17,Louis Porter,"Gg. Pasteur No. 234
Medan, KT 54097",080 425 1004,3359547947789992
18,Charles Hall,"Gg. Ahmad Dahlan No. 680
Banjar, JT 54362",+62 (0108) 646 0700,5451132486171478
