,debtor_name,debtor_nik,debtor_address,debtor_number,debtor_company,debtor_gender,debtor_education_level,employment_type,number_of_dependents,net_income,payment_date,loan_amount,avg_amounts_previous_bills,avg_previous_payment,amount_of_late,late_payment_amount,credit_risk,credit_score,arrears_amounts,aset,loss_reverse,payment1,payment2,payment3,payment4,payment5,payment6,payment7,payment8,payment9,payment10,payment11,payment12,bil1_late1,bill_late2,bill_late3,bill_late4,bill_late5,bill_late6,bill_late7,bill_late8,bill_late9,bill_late10,bill_late11,bill_late12,arrears1,arrears2,arrears3,arrears4,arrears5,arrears6,arrears7,arrears8,arrears9,arrears10,arrears11,arrears12,aging,debtor_zip,debtor_rt,debtor_rw,debtor_birth_place,debtor_age,debtor_occupation,debtor_marital_status
0,Jenna Patterson,5556068781455951,"Jalan Erlangga No. 91
Lubuklinggau, Papua 29781",+62-14-091-4493,PT Carson Hammond,perempuan,D3,Retired,3,15500000.0,2023-04-18,15625000.0,29500000,24350000,2,1,Tertagih,670,0,11000000,0.0,2500000,27000000,13500000,14500000,4500000,25000000,19500000,10000000,23000000,16500000,22500000,9000000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,29781,6,5,"Nusa Tenggara Timur, 13-06-1980",43,Pengusaha,Cerai hidup
1,Marcia Lewis,1237699469023892,"Jl. S. Parman No. 2
Banjarmasin, ST 39657",+62 (006) 255-0628,PT Ayers Harris,laki-laki,D3,Full-time,3,17500000.0,2023-08-26,17708333.333333332,3000000,1600000,31,3,Tertagih,402,1,17000000,17708333.333333332,25500000,2500000,22000000,16000000,4000000,16500000,12500000,5000000,25500000,27500000,29000000,26500000,2,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,DPK,39657,1,13,"Jawa Timur, 26-01-1994",29,Buruh,Cerai hidup
2,Julie Livingston,8659924810034320,"Gang Monginsidi No. 80
Tangerang, ST 13304",+62 (45) 471-7446,CV Baker,laki-laki,D2,Full-time,4,17500000.0,2023-08-03,14833333.333333334,13500000,9050000,0,0,Tertagih,505,0,14500000,0.0,8500000,22000000,10000000,15000000,28500000,8500000,2000000,23500000,14000000,17500000,5500000,23000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,13304,10,20,"Sulawesi Selatan, 10-04-1976",47,Pegawai Swasta,Cerai hidup
3,Shawn Lozano,1474363249564194,"Gang Dr. Djunjunan No. 1
Pekalongan, ST 24543",+62 (495) 924-3966,CV Sanchez Tbk,laki-laki,D2,Retired,3,15500000.0,2023-07-02,15291666.666666666,10500000,8350000,64,5,Tertagih,508,1,11500000,15291666.666666666,12000000,19000000,13500000,21000000,22000000,25500000,10500000,18000000,3500000,17500000,18500000,2500000,20,8,0,10,0,0,5,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,DPK,24543,10,17,"Nusa Tenggara Timur, 26-01-1999",24,Pegawai Swasta,Belum menikah
4,Brian Luna,3521756627781911,"Gg. Surapati No. 8
Depok, Sulawesi Tenggara 17412",+62 (886) 679 7856,Perum Matthews Mckinney (Persero) Tbk,laki-laki,SMA,Contract,5,8700000.0,2023-09-10,14041666.666666666,6500000,5750000,14,2,Tertagih,371,0,5500000,0.0,19000000,17000000,15000000,15500000,10500000,11000000,11000000,16000000,13500000,11000000,12000000,17000000,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,17412,14,8,"Kalimantan Selatan, 05-01-1994",29,Pegawai Swasta,Cerai mati
5,Brittany Reid,4963879374756007,"Jl. Merdeka No. 6
Pekalongan, YO 00099",+62 (0608) 025-3297,CV Simpson,laki-laki,D3,Retired,4,10500000.0,2023-04-26,15000000.0,11000000,7100000,11,2,Tertagih,389,0,4000000,0.0,12000000,11000000,16000000,11000000,18000000,14000000,16000000,17000000,18500000,14000000,16000000,16500000,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,00099,16,4,"Papua Barat, 12-07-1975",48,Pengusaha,Menikah
6,Matthew Melton,2013095831123859,"Jalan Astana Anyar No. 70
Palangkaraya, Kepulauan Riau 11812",+62 (003) 115 1140,PD Green Frost,perempuan,S1,Self-employed,2,25000000.0,2023-05-19,34500000.0,39000000,34300000,19,2,Tertagih,435,0,15500000,0.0,35000000,31000000,33000000,34000000,33500000,33500000,37500000,39000000,38000000,30500000,36000000,33000000,0,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,11812,19,15,"Jawa Barat, 31-12-1982",41,Buruh,Cerai mati
7,Andrew Stanton,2832282694287738,"Jl. Medokan Ayu No. 08
Palembang, Sumatera Barat 39512",+62 (0862) 982-6527,CV Carter (Persero) Tbk,perempuan,D1,Retired,5,18500000.0,2023-03-27,15916666.666666666,18000000,10500000,166,8,Tidak tertagih,110,3,12000000,47750000.0,26000000,29500000,9500000,5000000,8500000,17000000,20500000,24000000,6000000,2500000,22000000,20500000,0,0,28,6,12,22,29,0,0,18,27,24,0,0,1,0,0,1,2,0,0,1,2,3,Diragukan,39512,14,18,"Nusa Tenggara Barat, 09-02-1971",52,Buruh,Cerai hidup
8,Joseph Chung,4441581824498094,"Jalan Joyoboyo No. 50
Palopo, SU 77599",+62 (631) 028-6347,CV Johnson Tbk,perempuan,S2,Retired,4,21000000.0,2023-01-13,16791666.666666668,5000000,4600000,79,6,Tidak tertagih,185,2,9500000,33583333.333333336,3000000,21500000,15500000,22000000,28500000,22500000,15500000,5000000,9000000,12000000,25000000,22000000,3,1,5,30,0,0,0,23,17,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,DPK,77599,12,14,"Sulawesi Selatan, 01-04-1969",54,Pengusaha,Menikah
9,James Rowe,8495643030184358,"Jalan Moch. Ramdan No. 1
Lubuklinggau, Nusa Tenggara Timur 38840",+62 (619) 187-8471,PT Sloan Tbk,perempuan,SMA,Contract,7,8700000.0,2023-08-04,12875000.0,12500000,8550000,124,8,Tidak tertagih,348,3,9500000,38625000.0,14000000,10500000,11000000,11500000,10000000,15500000,15000000,11000000,16000000,13000000,12000000,15000000,23,0,0,8,0,4,15,26,19,12,0,17,1,0,0,0,0,0,1,2,3,0,0,1,Diragukan,38840,9,12,"Sulawesi Selatan, 17-02-1960",63,Profesional,Cerai mati
10,Vanessa Burke,3472502717435933,"Gang Joyoboyo No. 91
Sukabumi, MA 05491",+62 (0146) 812 5241,CV Craig Bowman Tbk,laki-laki,S2,Contract,3,19000000.0,2023-01-06,14250000.0,10500000,8150000,4,1,Tertagih,434,0,13000000,0.0,28000000,13000000,21000000,4500000,3500000,14500000,15500000,24500000,11500000,12000000,21000000,2000000,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,05491,6,18,"Sulawesi Utara, 27-05-1988",35,Buruh,Cerai hidup
11,Benjamin Thompson,6259924941833991,"Gang Tubagus Ismail No. 30
Purwokerto, Kalimantan Selatan 66107",+62 (0705) 295-5665,PD Miller Higgins (Persero) Tbk,laki-laki,S3,Retired,3,18000000.0,2023-06-10,14375000.0,8500000,7050000,20,1,Tertagih,582,1,10500000,14375000.0,11500000,22500000,18500000,17000000,11000000,8000000,5500000,3500000,16500000,19000000,25000000,14500000,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DPK,66107,19,11,"Kepulauan Bangka Belitung, 27-11-1988",35,Pegawai Swasta,Belum menikah
