,collector_name,collector_address,collector_number,collector_nik,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender
0,Sean Strong,"Gang Indragiri No. 194
Tebingtinggi, NT 48385",+62 (575) 348-4217,8408042025800377,0,sms or WA,10,61600000,67200000,72549,92.0,48385,1,2,"Kepulauan Bangka Belitung, 29-05-1978",45,Menikah,laki-laki
1,Heather Velez,"Gg. Cikutra Timur No. 558
Banjar, BE 92453",+62-0235-141-1521,7572771410780058,3,sms or WA,15,32800000,140200000,86235,23.0,92453,15,11,"Sumatera Selatan, 17-05-1991",32,Cerai mati,perempuan
2,Andrew Murray II,"Jalan Medokan Ayu No. 862
Surakarta, Kepulauan Riau 13784",+62 (038) 501 4020,2756328606045296,1,sms or WA,10,38400000,55300000,99363,69.0,13784,6,9,"Sumatera Utara, 22-04-1961",62,Cerai hidup,laki-laki
3,Dr. Lee Torres,"Jalan Kapten Muslihat No. 78
Batam, Nusa Tenggara Barat 37123",+62 (0882) 879 3302,1902234843110441,1,sms or WA,9,32500000,57400000,76118,56.99999999999999,37123,19,3,"Sulawesi Selatan, 20-06-1968",55,Cerai mati,perempuan
4,Sierra Richards,"Jl. Ciwastra No. 8
Tarakan, Jawa Timur 91406",+62 (031) 513 8460,5968351900599433,4,sms or WA,6,21000000,25400000,61461,83.0,91406,7,10,"Banten, 21-05-1970",53,Menikah,perempuan
5,Gary Robinson,"Jl. Jamika No. 43
Sungai Penuh, SU 92428",+62 (911) 074 3154,9277884747995890,4,sms or WA,7,12800000,37200000,71842,34.0,92428,19,18,"Kepulauan Riau, 22-03-1990",33,Belum menikah,laki-laki
6,Daniel Berry,"Gang Raya Setiabudhi No. 0
Bengkulu, Kalimantan Selatan 03669",+62-091-476-5602,5813440784457174,1,sms or WA,5,4100000,41100000,48652,10.0,3669,1,16,"Sulawesi Barat, 13-03-1989",34,Cerai hidup,perempuan
7,Randall Hoffman,"Gang Rawamangun No. 6
Solok, YO 31176",+62 (32) 577 3721,9140410279724439,3,sms or WA,8,35500000,37700000,50586,94.0,31176,7,7,"Sumatera Selatan, 24-01-1985",38,Belum menikah,laki-laki
8,Debbie Parker,"Jalan Surapati No. 08
Yogyakarta, AC 51774",+62 (862) 738 5433,4362458815662651,3,sms or WA,7,22400000,41700000,62241,54.0,51774,18,17,"Maluku, 06-04-1969",54,Menikah,perempuan
9,Samantha James,"Jl. Pelajar Pejuang No. 436
Banjarmasin, KI 22515",+62-0301-472-0959,9527775263736489,0,sms or WA,9,48300000,65200000,82064,74.0,22515,3,19,"DKI Jakarta, 24-11-1980",43,Cerai hidup,laki-laki
10,Lauren Robertson,"Gg. Wonoayu No. 367
Tidore Kepulauan, Kepulauan Bangka Belitung 90451",+62 (083) 179 3664,4873305308701310,1,sms or WA,14,11300000,14500000,113156,78.0,90451,11,8,"Sumatera Selatan, 06-10-1977",46,Menikah,perempuan
11,Tara Osborne,"Jl. Ronggowarsito No. 6
Kota Administrasi Jakarta Pusat, Riau 18385",+62 (095) 338-4299,9515749388731529,1,sms or WA,10,60400000,83200000,59618,73.0,18385,2,17,"Nusa Tenggara Barat, 07-04-1989",34,Menikah,laki-laki
12,Sean Harper,"Gg. Sukabumi No. 14
Bitung, Kalimantan Utara 31963",+62-0268-327-9640,4497655576463881,4,sms or WA,11,25700000,31500000,114280,82.0,31963,8,12,"Maluku Utara, 06-01-1991",32,Menikah,laki-laki
13,Kristina Avila,"Jl. Pelajar Pejuang No. 442
Tangerang, SN 10237",+62 (102) 032-1805,7609554517420423,2,sms or WA,14,39800000,110000000,88610,36.0,10237,17,11,"Jawa Tengah, 14-07-1975",48,Menikah,laki-laki
14,Carmen Stuart DDS,"Jalan Peta No. 775
Pariaman, JT 04783",+62 (93) 718-6272,4434678041952282,1,sms or WA,10,20000000,24800000,90662,81.0,4783,2,15,"Banten, 06-09-1965",58,Cerai hidup,laki-laki
15,Dawn Collins,"Jalan Soekarno Hatta No. 653
Probolinggo, BA 21380",+62 (462) 174 1234,7348958406633665,4,sms or WA,14,43300000,62900000,73975,69.0,21380,20,8,"Jawa Barat, 25-08-1964",59,Belum menikah,perempuan
16,Erin Harris,"Gg. Pasir Koja No. 0
Lubuklinggau, PB 80804",+62 (51) 004 9421,6124317478288829,3,sms or WA,1,900000,1100000,14250,82.0,80804,9,6,"Papua, 29-09-1988",35,Cerai mati,perempuan
17,Kevin Rice,"Gg. Cihampelas No. 2
Sungai Penuh, Maluku Utara 36299",+62 (05) 646 4108,1944864634772253,2,sms or WA,15,8400000,16400000,77875,51.0,36299,15,7,"Papua Barat, 27-07-1968",55,Cerai mati,perempuan
18,Charles Ferrell,"Gg. Abdul Muis No. 787
Pangkalpinang, BA 01643",+62 (0477) 418-9470,5747609608908235,0,sms or WA,12,8200000,52700000,60258,16.0,1643,2,3,"Papua Barat, 26-04-1971",52,Menikah,perempuan
19,David Olsen,"Jl. Medokan Ayu No. 5
Pekanbaru, KR 66080",+62-776-290-3934,2296561854449155,4,sms or WA,1,3900000,8000000,19496,49.0,66080,11,11,"Maluku Utara, 24-01-1989",34,Menikah,laki-laki
20,Sheri Clarke,"Jl. Veteran No. 5
Payakumbuh, Kepulauan Bangka Belitung 84710",+62 (976) 425-7687,9110078008505540,4,sms or WA,9,22500000,58300000,66113,39.0,84710,12,6,"Nusa Tenggara Timur, 23-02-1993",30,Cerai mati,perempuan
21,Andre Hawkins,"Gang Yos Sudarso No. 12
Padang, SU 40605",+62 (779) 009-5337,8082259590871495,1,sms or WA,3,18200000,27800000,32372,65.0,40605,1,3,"Kepulauan Bangka Belitung, 29-03-1973",50,Cerai mati,perempuan
22,Brian Mcdonald,"Jalan Lembong No. 97
Kotamobagu, Sulawesi Tenggara 18485",+62 (0075) 673-9364,3408872902329174,2,sms or WA,17,38500000,169600000,169652,23.0,18485,10,4,"Nusa Tenggara Barat, 06-07-1969",54,Cerai mati,perempuan
23,Rachel Smith,"Jl. Jakarta No. 470
Tomohon, YO 36062",+62 (023) 105-7831,2270315062767487,3,sms or WA,17,52100000,153600000,175935,34.0,36062,17,5,"Gorontalo, 16-06-1999",24,Cerai mati,laki-laki
24,Eric Chan,"Jl. Rajawali Timur No. 960
Surakarta, NT 52696",+62 (0608) 946 8286,6088518302881287,1,sms or WA,1,6900000,8600000,18650,80.0,52696,5,3,"Kalimantan Barat, 16-05-1998",25,Cerai hidup,laki-laki
25,Ashley Ponce,"Gg. Pelajar Pejuang No. 72
Surakarta, KU 42933",+62 (044) 620 5377,7681691719811356,2,sms or WA,7,16800000,17000000,42806,99.0,42933,6,18,"Maluku Utara, 23-05-1966",57,Cerai mati,perempuan
26,Tanya Ortiz,"Jl. Moch. Toha No. 76
Cimahi, Lampung 16612",+62 (169) 541-6616,7652025987296171,4,sms or WA,4,28800000,31400000,36812,92.0,16612,15,18,"Bali, 27-09-1985",38,Belum menikah,laki-laki
27,Ryan Perez,"Gg. Veteran No. 117
Pasuruan, Sulawesi Tengah 28523",+62 (239) 105 5875,6376739351141068,2,sms or WA,12,15700000,52400000,84858,30.0,28523,17,14,"DKI Jakarta, 30-04-1961",62,Belum menikah,perempuan
